"행정구역","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_20~24세","2020년_계_25~29세","2020년_계_30~34세","2020년_계_35~39세","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_20~24세","2020년_남_25~29세","2020년_남_30~34세","2020년_남_35~39세","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_20~24세","2020년_여_25~29세","2020년_여_30~34세","2020년_여_35~39세","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_20~24세","2021년_계_25~29세","2021년_계_30~34세","2021년_계_35~39세","2021년_남_총인구수","2021년_남_연령구간인구수","2021년_남_20~24세","2021년_남_25~29세","2021년_남_30~34세","2021년_남_35~39세","2021년_여_총인구수","2021년_여_연령구간인구수","2021년_여_20~24세","2021년_여_25~29세","2021년_여_30~34세","2021년_여_35~39세","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_20~24세","2022년_계_25~29세","2022년_계_30~34세","2022년_계_35~39세","2022년_남_총인구수","2022년_남_연령구간인구수","2022년_남_20~24세","2022년_남_25~29세","2022년_남_30~34세","2022년_남_35~39세","2022년_여_총인구수","2022년_여_연령구간인구수","2022년_여_20~24세","2022년_여_25~29세","2022년_여_30~34세","2022년_여_35~39세"
"경상남도 창원시 마산회원구 (4812700000)","191,289","44,172","11,433","10,920","9,465","12,354","95,938","23,859","6,344","5,994","5,054","6,467","95,351","20,313","5,089","4,926","4,411","5,887","186,881","41,331","10,509","10,570","9,241","11,011","93,661","22,458","5,850","5,864","4,977","5,767","93,220","18,873","4,659","4,706","4,264","5,244","183,662","38,804","9,437","10,131","9,325","9,911","91,696","21,030","5,210","5,574","5,039","5,207","91,966","17,774","4,227","4,557","4,286","4,704"
"경상남도 창원시 마산회원구 내서읍(4812725000)","64,835","14,988","4,718","3,558","2,800","3,912","32,638","7,982","2,622","1,962","1,469","1,929","32,197","7,006","2,096","1,596","1,331","1,983","63,446","14,110","4,429","3,502","2,759","3,420","31,908","7,595","2,485","1,973","1,446","1,691","31,538","6,515","1,944","1,529","1,313","1,729","62,429","13,282","3,996","3,405","2,862","3,019","31,282","7,141","2,249","1,887","1,513","1,492","31,147","6,141","1,747","1,518","1,349","1,527"
"경상남도 창원시 마산회원구 회원1동(4812751000)","10,504","1,923","456","491","408","568","5,216","1,119","238","300","256","325","5,288","804","218","191","152","243","10,164","1,765","396","510","390","469","5,028","1,037","215","305","240","277","5,136","728","181","205","150","192","10,023","1,654","364","488","410","392","4,943","948","197","278","247","226","5,080","706","167","210","163","166"
"경상남도 창원시 마산회원구 회원2동(4812752000)","9,994","2,447","519","638","597","693","4,928","1,295","276","334","314","371","5,066","1,152","243","304","283","322","10,064","2,393","481","593","690","629","4,975","1,247","251","297","362","337","5,089","1,146","230","296","328","292","9,928","2,301","447","532","699","623","4,891","1,200","234","264","360","342","5,037","1,101","213","268","339","281"
"경상남도 창원시 마산회원구 석전동(4812754500)","17,142","4,213","837","1,023","1,091","1,262","8,604","2,290","476","529","572","713","8,538","1,923","361","494","519","549","16,791","3,928","738","972","1,028","1,190","8,387","2,119","412","504","551","652","8,404","1,809","326","468","477","538","16,634","3,689","673","913","994","1,109","8,270","1,979","366","479","527","607","8,364","1,710","307","434","467","502"
"경상남도 창원시 마산회원구 회성동(4812755000)","6,298","1,160","280","324","277","279","3,194","672","156","186","176","154","3,104","488","124","138","101","125","6,037","1,042","241","296","275","230","3,069","620","142","175","167","136","2,968","422","99","121","108","94","5,770","964","221","257","266","220","2,921","564","125","149","162","128","2,849","400","96","108","104","92"
"경상남도 창원시 마산회원구 양덕1동(4812756000)","11,289","2,663","650","701","569","743","5,659","1,471","368","385","318","400","5,630","1,192","282","316","251","343","10,970","2,485","550","708","551","676","5,501","1,382","314","397","318","353","5,469","1,103","236","311","233","323","10,785","2,284","483","670","544","587","5,379","1,267","255","377","312","323","5,406","1,017","228","293","232","264"
"경상남도 창원시 마산회원구 양덕2동(4812757000)","31,851","7,532","1,815","1,609","1,666","2,442","15,746","3,938","1,031","885","818","1,204","16,105","3,594","784","724","848","1,238","31,215","7,036","1,678","1,541","1,602","2,215","15,398","3,661","939","844","788","1,090","15,817","3,375","739","697","814","1,125","30,715","6,560","1,464","1,527","1,528","2,041","15,075","3,400","807","848","745","1,000","15,640","3,160","657","679","783","1,041"
"경상남도 창원시 마산회원구 합성1동(4812758000)","9,479","2,438","527","619","597","695","4,809","1,326","293","331","322","380","4,670","1,112","234","288","275","315","9,297","2,323","507","595","581","640","4,725","1,275","286","321","322","346","4,572","1,048","221","274","259","294","9,020","2,122","432","553","606","531","4,555","1,158","238","308","333","279","4,465","964","194","245","273","252"
"경상남도 창원시 마산회원구 합성2동(4812759000)","7,772","1,795","465","517","388","425","3,887","993","246","284","218","245","3,885","802","219","233","170","180","7,489","1,620","412","493","335","380","3,755","910","209","277","192","232","3,734","710","203","216","143","148","7,374","1,564","387","487","348","342","3,695","894","206","272","204","212","3,679","670","181","215","144","130"
"경상남도 창원시 마산회원구 구암1동(4812760000)","9,082","1,862","454","503","393","512","4,537","1,056","255","282","219","300","4,545","806","199","221","174","212","8,860","1,732","417","496","371","448","4,447","1,001","244","286","212","259","4,413","731","173","210","159","189","8,673","1,647","374","459","404","410","4,333","943","218","255","236","234","4,340","704","156","204","168","176"
"경상남도 창원시 마산회원구 구암2동(4812761000)","9,674","2,413","559","750","519","585","4,840","1,260","282","391","285","302","4,834","1,153","277","359","234","283","9,329","2,240","531","690","504","515","4,664","1,196","275","365","291","265","4,665","1,044","256","325","213","250","9,207","2,126","487","673","505","461","4,608","1,140","247","346","295","252","4,599","986","240","327","210","209"
"경상남도 창원시 마산회원구 봉암동(4812762000)","3,369","738","153","187","160","238","1,880","457","101","125","87","144","1,489","281","52","62","73","94","3,219","657","129","174","155","199","1,804","415","78","120","88","129","1,415","242","51","54","67","70","3,104","611","109","167","159","176","1,744","396","68","111","105","112","1,360","215","41","56","54","64"
"경상남도 창원시 진해구 (4812900000)","192,755","47,552","10,177","10,343","10,906","16,126","98,736","25,758","5,683","5,913","5,785","8,377","94,019","21,794","4,494","4,430","5,121","7,749","194,949","46,537","10,168","10,668","10,975","14,726","100,077","25,518","5,716","6,216","5,875","7,711","94,872","21,019","4,452","4,452","5,100","7,015","193,994","44,215","9,632","10,304","11,109","13,170","99,711","24,416","5,454","6,051","6,022","6,889","94,283","19,799","4,178","4,253","5,087","6,281"
"경상남도 창원시 진해구 충무동(4812953000)","17,355","4,433","1,010","1,180","1,042","1,201","8,989","2,644","612","781","603","648","8,366","1,789","398","399","439","553","16,962","4,299","1,037","1,134","1,046","1,082","8,811","2,598","635","755","616","592","8,151","1,701","402","379","430","490","16,454","4,030","973","1,074","1,044","939","8,548","2,436","579","720","617","520","7,906","1,594","394","354","427","419"
"경상남도 창원시 진해구 여좌동(4812954000)","8,754","1,571","452","403","323","393","4,335","906","269","226","187","224","4,419","665","183","177","136","169","8,469","1,479","439","383","327","330","4,183","880","273","231","195","181","4,286","599","166","152","132","149","8,340","1,414","400","366","354","294","4,129","858","249","226","214","169","4,211","556","151","140","140","125"
"경상남도 창원시 진해구 태백동(4812955000)","5,040","884","272","231","154","227","2,541","509","160","128","82","139","2,499","375","112","103","72","88","4,130","712","201","200","142","169","2,079","411","123","109","79","100","2,051","301","78","91","63","69","3,726","644","162","190","140","152","1,871","371","102","109","79","81","1,855","273","60","81","61","71"
"경상남도 창원시 진해구 경화동(4812956000)","11,402","2,756","592","576","667","921","5,771","1,511","335","316","368","492","5,631","1,245","257","260","299","429","11,097","2,494","556","552","582","804","5,621","1,380","308","322","314","436","5,476","1,114","248","230","268","368","10,928","2,301","507","539","543","712","5,524","1,273","289","316","274","394","5,404","1,028","218","223","269","318"
"경상남도 창원시 진해구 병암동(4812957000)","7,545","1,609","382","397","361","469","3,740","860","204","215","186","255","3,805","749","178","182","175","214","7,431","1,512","361","408","346","397","3,666","819","203","224","174","218","3,765","693","158","184","172","179","7,301","1,423","336","398","349","340","3,590","763","193","213","179","178","3,711","660","143","185","170","162"
"경상남도 창원시 진해구 석동(4812958000)","17,463","4,375","1,101","1,109","971","1,194","8,930","2,381","593","657","534","597","8,533","1,994","508","452","437","597","17,555","4,279","1,124","1,103","946","1,106","9,013","2,359","595","673","536","555","8,542","1,920","529","430","410","551","17,475","4,162","1,098","1,101","976","987","9,013","2,321","592","658","565","506","8,462","1,841","506","443","411","481"
"경상남도 창원시 진해구 이동(4812959000)","8,576","2,043","455","567","494","527","4,546","1,226","265","336","310","315","4,030","817","190","231","184","212","8,583","2,058","451","623","487","497","4,541","1,252","261","388","304","299","4,042","806","190","235","183","198","8,501","2,007","437","607","502","461","4,504","1,236","267","373","310","286","3,997","771","170","234","192","175"
"경상남도 창원시 진해구 자은동(4812960000)","21,460","5,597","1,219","1,098","1,237","2,043","10,701","2,894","659","584","640","1,011","10,759","2,703","560","514","597","1,032","21,235","5,164","1,137","1,055","1,176","1,796","10,590","2,685","634","568","603","880","10,645","2,479","503","487","573","916","20,931","4,786","1,038","1,024","1,141","1,583","10,428","2,512","587","553","596","776","10,503","2,274","451","471","545","807"
"경상남도 창원시 진해구 덕산동(4812961000)","10,224","2,496","562","594","594","746","5,018","1,318","328","314","306","370","5,206","1,178","234","280","288","376","10,154","2,410","548","633","583","646","5,004","1,306","314","362","292","338","5,150","1,104","234","271","291","308","9,922","2,280","531","557","611","581","4,883","1,262","313","309","327","313","5,039","1,018","218","248","284","268"
