행정동코드,측정일,측정시간,측정카테고리,측정값
4831000000,2024-09-20,17,pm10Value,10
4831000000,2024-09-20,18,pm10Value,9.8
4831000000,2024-09-20,19,pm10Value,11
4831000000,2024-09-20,20,pm10Value,6.3333
4831000000,2024-09-20,21,pm10Value,5
4831000000,2024-09-20,22,pm10Value,5
4831000000,2024-09-20,23,pm10Value,9.3333
4831000000,2024-09-21,1,pm10Value,11
4831000000,2024-09-21,2,pm10Value,7.6667
4831000000,2024-09-21,3,pm10Value,10
4831000000,2024-09-21,4,pm10Value,13
4831000000,2024-09-21,5,pm10Value,12.6667
4831000000,2024-09-21,6,pm10Value,10
4831000000,2024-09-21,7,pm10Value,6.6667
4831000000,2024-09-21,8,pm10Value,12.3333
4831000000,2024-09-21,9,pm10Value,13.3333
4831000000,2024-09-21,10,pm10Value,15
4831000000,2024-09-21,11,pm10Value,12
4831000000,2024-09-21,12,pm10Value,13
4831000000,2024-09-21,13,pm10Value,13
4831000000,2024-09-21,14,pm10Value,11.6667
4831000000,2024-09-21,15,pm10Value,13.3333
4831000000,2024-09-21,16,pm10Value,10
4831000000,2024-09-21,17,pm10Value,7.6667
4831000000,2024-09-21,18,pm10Value,6
4831000000,2024-09-21,19,pm10Value,5.3333
4831000000,2024-09-21,20,pm10Value,4.5
4831000000,2024-09-21,21,pm10Value,4.6667
4831000000,2024-09-21,22,pm10Value,7
4831000000,2024-09-21,23,pm10Value,4.6667
4831000000,2024-09-22,1,pm10Value,5.3333
4831000000,2024-09-22,2,pm10Value,6.3333
4831000000,2024-09-22,3,pm10Value,5.6667
4831000000,2024-09-22,4,pm10Value,5.3333
4831000000,2024-09-22,5,pm10Value,10.6667
4831000000,2024-09-22,6,pm10Value,8
4831000000,2024-09-22,7,pm10Value,8.3333
4831000000,2024-09-22,8,pm10Value,7.3333
4831000000,2024-09-22,9,pm10Value,8
4831000000,2024-09-22,10,pm10Value,7
4831000000,2024-09-22,11,pm10Value,7
4831000000,2024-09-22,12,pm10Value,8.6667
4831000000,2024-09-22,13,pm10Value,9.6667
4831000000,2024-09-22,14,pm10Value,8.3333
4831000000,2024-09-22,15,pm10Value,10
4831000000,2024-09-22,16,pm10Value,11.3333
4831000000,2024-09-22,17,pm10Value,10
4831000000,2024-09-22,18,pm10Value,8.6667
4831000000,2024-09-22,19,pm10Value,10.3333
4831000000,2024-09-22,20,pm10Value,9.3333
4831000000,2024-09-22,21,pm10Value,7
4831000000,2024-09-22,22,pm10Value,6.3333
4831000000,2024-09-22,23,pm10Value,5.6667
4831000000,2024-09-23,1,pm10Value,10.3333
4831000000,2024-09-23,2,pm10Value,13
4831000000,2024-09-23,3,pm10Value,8
4831000000,2024-09-23,4,pm10Value,9
4831000000,2024-09-23,5,pm10Value,9.6667
4831000000,2024-09-23,6,pm10Value,12.3333
4831000000,2024-09-23,7,pm10Value,13.6667
4831000000,2024-09-23,8,pm10Value,13.6667
4831000000,2024-09-23,9,pm10Value,13.6667
4831000000,2024-09-23,10,pm10Value,15.6667
4831000000,2024-09-23,11,pm10Value,17.3333
4831000000,2024-09-23,12,pm10Value,17
4831000000,2024-09-23,13,pm10Value,15.6667
4831000000,2024-09-23,14,pm10Value,16.6667
4831000000,2024-09-23,15,pm10Value,15
4831000000,2024-09-23,16,pm10Value,17.6667
4831000000,2024-09-23,17,pm10Value,17.3333
4831000000,2024-09-23,18,pm10Value,16.6667
4831000000,2024-09-23,19,pm10Value,12.6667
4831000000,2024-09-23,20,pm10Value,14
4831000000,2024-09-23,21,pm10Value,15.6667
4831000000,2024-09-23,22,pm10Value,15.3333
4831000000,2024-09-23,23,pm10Value,13.3333
4831000000,2024-09-24,1,pm10Value,11.6667
4831000000,2024-09-24,2,pm10Value,12.3333
