"행정구역별","산업별","항목","단위","2019 년","2020 년","2021 년","2022 년","2023 년",
"북면","금융 및 보험업","사업체수[개]","개","9","12","10","11","11",
"북면","금융 및 보험업","종사자수[명]","명","101","99","104","91","95",
"북면","부동산업","사업체수[개]","개","98","148","139","149","159",
"북면","부동산업","종사자수[명]","명","302","317","313","348","334",
"북면","전문,과학 및 기술 서비스업","사업체수[개]","개","8","47","54","55","64",
"북면","전문,과학 및 기술 서비스업","종사자수[명]","명","19","82","85","84","91",
"북면","사업시설관리, 사업지원 및 임대 서비스업","사업체수[개]","개","18","78","84","84","83",
"북면","사업시설관리, 사업지원 및 임대 서비스업","종사자수[명]","명","111","187","225","182","182",
"북면","공공행정,국방 및 사회보장행정","사업체수[개]","개","3","3","3","3","3",
"북면","공공행정,국방 및 사회보장행정","종사자수[명]","명","68","66","66","67","68",
"북면","교육서비스업","사업체수[개]","개","151","200","248","270","287",
"북면","교육서비스업","종사자수[명]","명","811","993","1109","1161","1259",
"북면","보건업 및 사회복지 서비스업","사업체수[개]","개","110","117","114","118","110",
"북면","보건업 및 사회복지 서비스업","종사자수[명]","명","1294","1283","1206","1196","1202",
"북면","예술,스포츠 및 여가관련 서비스업","사업체수[개]","개","49","58","57","60","58",
"북면","예술,스포츠 및 여가관련 서비스업","종사자수[명]","명","119","111","91","123","118",
"북면","협회 및 단체,수리 및 기타 개인서비스업","사업체수[개]","개","167","222","208","219","242",
"북면","협회 및 단체,수리 및 기타 개인서비스업","종사자수[명]","명","259","304","296","317","340",
"대산면","합계","사업체수[개]","개","938","1388","1375","1377","1388",
"대산면","합계","여성대표자사업체수[개]","개","268","369","369","355","369",
"대산면","합계","종사자수[명]","명","4611","5100","5103","5274","5239",
"대산면","합계","남자종사자수[명]","명","3124","3542","3508","3620","3561",
"대산면","합계","여자종사자수[명]","명","1487","1558","1595","1654","1678",
"대산면","농업,임업 및 어업","사업체수[개]","개","6","10","14","15","13",
"대산면","농업,임업 및 어업","종사자수[명]","명","81","97","94","97","117",
"대산면","광업","사업체수[개]","개","1","1","0","-","-",
"대산면","광업","종사자수[명]","명","2","2","0","-","-",
"대산면","제조업","사업체수[개]","개","377","567","569","593","552",
"대산면","제조업","종사자수[명]","명","2833","3122","3165","3374","3157",
"대산면","전기,가스,증기 및 공기조절 공급업","사업체수[개]","개","2","42","37","37","40",
"대산면","전기,가스,증기 및 공기조절 공급업","종사자수[명]","명","2","43","38","37","40",
"대산면","수도, 하수 및 폐기물 처리, 원료 재생업","사업체수[개]","개","5","7","7","7","7",
"대산면","수도, 하수 및 폐기물 처리, 원료 재생업","종사자수[명]","명","57","55","54","56","56",
"대산면","건설업","사업체수[개]","개","19","56","60","61","59",
"대산면","건설업","종사자수[명]","명","101","127","124","107","124",
"대산면"," 도매 및 소매업","사업체수[개]","개","206","311","297","295","317",
"대산면"," 도매 및 소매업","종사자수[명]","명","509","656","604","596","665",
"대산면","운수 및 창고업","사업체수[개]","개","52","71","83","69","93",
"대산면","운수 및 창고업","종사자수[명]","명","83","96","106","91","118",
"대산면","숙박 및 음식점업","사업체수[개]","개","113","120","116","113","112",
"대산면","숙박 및 음식점업","종사자수[명]","명","240","193","197","196","206",
"대산면","정보통신업","사업체수[개]","개","2","4","5","5","6",
"대산면","정보통신업","종사자수[명]","명","7","9","7","13","21",
"대산면","금융 및 보험업","사업체수[개]","개","4","4","5","5","5",
"대산면","금융 및 보험업","종사자수[명]","명","27","30","31","31","29",
"대산면","부동산업","사업체수[개]","개","38","49","42","41","38",
"대산면","부동산업","종사자수[명]","명","58","59","56","59","49",
"대산면","전문,과학 및 기술 서비스업","사업체수[개]","개","9","15","14","12","15",
"대산면","전문,과학 및 기술 서비스업","종사자수[명]","명","43","45","62","48","57",
"대산면","사업시설관리, 사업지원 및 임대 서비스업","사업체수[개]","개","6","19","20","18","21",
"대산면","사업시설관리, 사업지원 및 임대 서비스업","종사자수[명]","명","20","30","21","35","37",
"대산면","공공행정,국방 및 사회보장행정","사업체수[개]","개","3","3","3","3","3",
"대산면","공공행정,국방 및 사회보장행정","종사자수[명]","명","51","38","51","47","50",
"대산면","교육서비스업","사업체수[개]","개","16","21","19","19","18",
"대산면","교육서비스업","종사자수[명]","명","207","214","203","195","197",
"대산면","보건업 및 사회복지 서비스업","사업체수[개]","개","17","17","15","17","18",
"대산면","보건업 및 사회복지 서비스업","종사자수[명]","명","183","182","201","198","219",
"대산면","예술,스포츠 및 여가관련 서비스업","사업체수[개]","개","10","11","13","13","14",
"대산면","예술,스포츠 및 여가관련 서비스업","종사자수[명]","명","29","21","19","23","24",
"대산면","협회 및 단체,수리 및 기타 개인서비스업","사업체수[개]","개","52","60","56","54","57",
"대산면","협회 및 단체,수리 및 기타 개인서비스업","종사자수[명]","명","78","81","70","71","73",
"의창동","합계","사업체수[개]","개","3067","4103","4194","4255","4293",
"의창동","합계","여성대표자사업체수[개]","개","1461","1854","1898","1949","1984",
"의창동","합계","종사자수[명]","명","9496","10553","11104","11943","12563",
"의창동","합계","남자종사자수[명]","명","4706","5232","5229","5414","5546",
"의창동","합계","여자종사자수[명]","명","4790","5321","5875","6529","7017",
"의창동","농업,임업 및 어업","사업체수[개]","개","1","1","1","2","2",
"의창동","농업,임업 및 어업","종사자수[명]","명","12","1","8","X","X",
"의창동","광업","사업체수[개]","개","1","1","1","1","-",
"의창동","광업","종사자수[명]","명","4","1","1","X","-",
"의창동","제조업","사업체수[개]","개","183","244","236","237","195",
"의창동","제조업","종사자수[명]","명","523","575","601","521","486",
"의창동","전기,가스,증기 및 공기조절 공급업","사업체수[개]","개","0","2","2","3","3",
"의창동","전기,가스,증기 및 공기조절 공급업","종사자수[명]","명","0","2","3","3","4",
"의창동","수도, 하수 및 폐기물 처리, 원료 재생업","사업체수[개]","개","3","3","3","3","3",
"의창동","수도, 하수 및 폐기물 처리, 원료 재생업","종사자수[명]","명","9","23","10","11","7",
"의창동","건설업","사업체수[개]","개","172","302","319","312","305",
"의창동","건설업","종사자수[명]","명","1183","1377","1206","1087","1097",
"의창동"," 도매 및 소매업","사업체수[개]","개","803","1080","1086","1085","1124",
"의창동"," 도매 및 소매업","종사자수[명]","명","2028","2030","2142","2055","2191",
"의창동","운수 및 창고업","사업체수[개]","개","194","231","256","251","283",
"의창동","운수 및 창고업","종사자수[명]","명","328","370","481","476","452",
"의창동","숙박 및 음식점업","사업체수[개]","개","584","715","743","743","726",
"의창동","숙박 및 음식점업","종사자수[명]","명","1319","1304","1541","1680","1742",
"의창동","정보통신업","사업체수[개]","개","9","25","33","35","39",
"의창동","정보통신업","종사자수[명]","명","31","51","66","62","56",
"의창동","금융 및 보험업","사업체수[개]","개","21","26","31","32","32",
"의창동","금융 및 보험업","종사자수[명]","명","227","233","340","292","376",
"의창동","부동산업","사업체수[개]","개","182","263","226","213","208",
"의창동","부동산업","종사자수[명]","명","396","401","373","344","356",
"의창동","전문,과학 및 기술 서비스업","사업체수[개]","개","60","100","114","131","124",
