시도명,시군구명,관리기관,회사명,공장구분,단지명,공장주소,공장주소_지번,종업원합계,addr_raw,addr_gu,bjd7,prio,dong_list,bjd7_step2
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,미래산업,계획,창원국가산업단지,경상남도 창원시 의창구 남면로113번길 25-40 (대원동),경상남도 창원시 성산구 대원동 86-3번지,1,경상남도 창원시 의창구 남면로113번길 25-40 (대원동),의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,삼성테크,계획,창원국가산업단지,경상남도 창원시 의창구 남면로 131 (대원동),경상남도 창원시 성산구 대원동 91-6번지,3,경상남도 창원시 의창구 남면로 131 (대원동),의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,성신메카텍(주),계획,창원국가산업단지,"경상남도 창원시 의창구 남면로 219, 2동 1층 19호 (대원동)",경상남도 창원시 성산구 대원동 91-10번지 2동 1층 19호,4,"경상남도 창원시 의창구 남면로 219, 2동 1층 19호 (대원동)",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,성신메카텍(주),계획,창원국가산업단지,경상남도 창원시 의창구 남면로 137 (대원동),경상남도 창원시 성산구 대원동 91-15번지,26,경상남도 창원시 의창구 남면로 137 (대원동),의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,성우미크론(주),계획,창원국가산업단지,경상남도 창원시 의창구 남면로 125 (대원동),경상남도 창원시 성산구 대원동 91-4번지,85,경상남도 창원시 의창구 남면로 125 (대원동),의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,성일엔지니어링,계획,창원국가산업단지,"경상남도 창원시 의창구 남면로 219, 1동 1층 10 (대원동), 2층10, 3층10",경상남도 창원시 성산구 대원동 91-10번지 1동 1층 10,4,"경상남도 창원시 의창구 남면로 219, 1동 1층 10 (대원동), 2층10, 3층10",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,성진정밀,계획,창원국가산업단지,"경상남도 창원시 의창구 남면로 219, 2동 1층 15호 (대원동), 2층15호, 3층15호",경상남도 창원시 성산구 대원동 91-10번지 2동 1층 15호,13,"경상남도 창원시 의창구 남면로 219, 2동 1층 15호 (대원동), 2층15호, 3층15호",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,성현테크,계획,창원국가산업단지,"경상남도 창원시 의창구 남면로 219, 1동 1층 3호 (대원동)",경상남도 창원시 성산구 대원동 91-10번지 1동 1층 3호,14,"경상남도 창원시 의창구 남면로 219, 1동 1층 3호 (대원동)",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,성호 E.D.M,계획,창원국가산업단지,"경상남도 창원시 의창구 남면로 219, 1동 1층 1 (대원동)",경상남도 창원시 성산구 대원동 91-10번지 1동 1층 1,3,"경상남도 창원시 의창구 남면로 219, 1동 1층 1 (대원동)",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,세운산업,계획,창원국가산업단지,"경상남도 창원시 의창구 남면로 219, 2동 1층 24호 (대원동), 2층24호, 3층24호",경상남도 창원시 성산구 대원동 91-10번지 2동 1층 24호,5,"경상남도 창원시 의창구 남면로 219, 2동 1층 24호 (대원동), 2층24호, 3층24호",의창구,,0.0,,
