lat,lon,station_id,station_name,nodeno,n_routes,n_routes_dir,avg_nodeord,route_nums_sample,lat_ok,lon_ok,name_ok
35.34677477,128.6256784,CWB379000118,북면연동,110307,2,2,60.5,"30, 33",True,True,True
35.34634885,128.6581239,CWB379000119,봉곡마을,104638,8,8,53.5,"30, 31, 32",True,True,True
35.34628131,128.65803411,CWB379000120,봉곡마을,104635,8,8,106.25,"30, 31, 32",True,True,True
35.34527519,128.6902114,CWB379000121,윗대방,106813,4,4,102.25,"3, 31, 41",True,True,True
35.34518102,128.6901289,CWB379000122,윗대방,106814,4,4,53.5,"3, 31, 41",True,True,True
35.34538163,128.6640125,CWB379000123,섬김의집,104634,8,8,51.38,"30, 31, 32",True,True,True
35.34528545,128.6639865,CWB379000124,섬김의집,104631,8,8,108.38,"30, 31, 32",True,True,True
35.3440285,128.6174555,CWB379000125,북면공설운동장,110303,2,2,77.5,"30, 33",True,True,True
35.34435091,128.6596115,CWB379000126,봉곡,104636,8,8,52.38,"30, 31, 32",True,True,True
35.34411207,128.6174454,CWB379000127,북면공설운동장,110304,2,2,62.5,"30, 33",True,True,True
35.34426498,128.6596022,CWB379000128,봉곡,104633,8,8,107.38,"30, 31, 32",True,True,True
35.3448638,128.605945,CWB379000129,대호아파트,119346,12,13,64.62,"10, 11, 12",True,True,True
35.34471714,128.6053135,CWB379000130,대호아파트,119345,12,12,87.31,"10, 11, 12",True,True,True
35.34421461,128.6178728,CWB379000132,마산리,110306,1,1,72.0,33,True,True,True
35.34322094,128.6944991,CWB379000133,대방,106816,4,4,54.5,"3, 31, 41",True,True,True
35.34276844,128.6948312,CWB379000134,대방,106815,4,4,101.25,"3, 31, 41",True,True,True
35.34284541,128.667571,CWB379000135,양교,104632,8,8,50.38,"30, 31, 32",True,True,True
35.3438192,128.5821382,CWB379000136,현천,103407,2,3,66.33,"13, 15",True,True,True
35.34339411,128.5826413,CWB379000137,현천,103408,2,3,72.33,"13, 15",True,True,True
35.34251013,128.6677639,CWB379000138,양교,104629,8,8,109.38,"30, 31, 32",True,True,True
35.34129341,128.5915006,CWB379000139,중리,103409,2,3,65.33,"13, 15",True,True,True
35.34113217,128.5915062,CWB379000140,중리경로당,103410,2,3,73.33,"13, 15",True,True,True
35.33866319,128.7087949,CWB379000141,대산초등학교,118003,4,4,75.0,"1, 31, 36",True,True,True
35.33870259,128.7090139,CWB379000142,대산초등학교,118006,5,5,78.6,"1, 2, 31",True,True,True
35.33977044,128.6011532,CWB379000144,신촌주유소,119344,12,12,61.08,"10, 11, 12",True,True,True
35.33973421,128.6010096,CWB379000145,신촌주유소,119343,12,12,90.0,"10, 11, 12",True,True,True
35.33765692,128.6772907,CWB379000146,합산,100202,1,1,68.0,42,True,True,True
35.3375815,128.6773869,CWB379000147,합산,100201,1,1,59.0,42,True,True,True
35.33629113,128.6976921,CWB379000148,가촌마을,106818,4,4,63.25,"31, 41, 49",True,True,True
35.33627111,128.6978382,CWB379000149,가촌마을,106817,4,4,93.75,"31, 41, 49",True,True,True
35.33532932,128.7090879,CWB379000150,가술,118004,7,7,72.14,"1, 2, 3",True,True,True
35.33541892,128.7017388,CWB379000151,가촌,106819,4,4,87.75,"1, 31, 41",True,True,True
35.33533196,128.7016911,CWB379000152,가촌,106820,4,4,74.75,"1, 31, 41",True,True,True
35.33516263,128.7088864,CWB379000153,가술,118001,7,7,47.14,"1, 2, 3",True,True,True
