adm9,yyyymm,pop_total
481235400,202212,46259.0
481235400,202301,46186.0
481235400,202302,46092.0
481235400,202303,46094.0
481235400,202304,46039.0
481235400,202305,46069.0
481235400,202306,46037.0
481235400,202307,45983.0
481235400,202308,45915.0
481235400,202309,45846.0
481235400,202310,45879.0
481235400,202311,45821.0
481235400,202312,45790.0
481235400,202401,45707.0
481235400,202402,45612.0
481235400,202403,45471.0
481235400,202404,45371.0
481235400,202405,45192.0
481235400,202406,44941.0
481235400,202407,44788.0
481235400,202408,44782.0
481235400,202409,44738.0
481235400,202410,44689.0
481235400,202411,44628.0
481235400,202412,44547.0
481235500,202012,41241.0
481235500,202101,41135.0
481235500,202102,41024.0
481235500,202103,40920.0
481235500,202104,40848.0
481235500,202105,40729.0
481235500,202106,40677.0
481235500,202107,40670.0
481235500,202108,40592.0
481235500,202109,40501.0
481235500,202110,40444.0
481235500,202111,40373.0
481235500,202112,40288.0
481235500,202201,40255.0
481235500,202202,40076.0
481235500,202203,39983.0
481235500,202204,39843.0
481235500,202205,39771.0
481235500,202206,39682.0
481235500,202207,39666.0
481235500,202208,39618.0
481235500,202209,39580.0
481235500,202210,39573.0
481235500,202211,39588.0
481235500,202212,39585.0
481235500,202301,39541.0
481235500,202302,39439.0
481235500,202303,39232.0
481235500,202304,39034.0
481235500,202305,38875.0
481235500,202306,38765.0
481235500,202307,38663.0
481235500,202308,38611.0
481235500,202309,38529.0
481235500,202310,38415.0
481235500,202311,38311.0
481235500,202312,38216.0
481235500,202401,38142.0
481235500,202402,38036.0
481235500,202403,37926.0
481235500,202404,37868.0
481235500,202405,37822.0
481235500,202406,37682.0
481235500,202407,37616.0
481235500,202408,37620.0
481235500,202409,37605.0
481235500,202410,37536.0
481235500,202411,37491.0
481235500,202412,37505.0
481235600,202012,26615.0
481235600,202101,26563.0
481235600,202102,26501.0
481235600,202103,26446.0
481235600,202104,26398.0
481235600,202105,26396.0
481235600,202106,26370.0
481235600,202107,26335.0
481235600,202108,26386.0
481235600,202109,26340.0
481235600,202110,26308.0
481235600,202111,26259.0
481235600,202112,26219.0
481235600,202201,26172.0
481235600,202202,26072.0
481235600,202203,25971.0
481235600,202204,25904.0
481235600,202205,25854.0
481235600,202206,25837.0
481235600,202207,25836.0
481235600,202208,25794.0
481235600,202209,25866.0
481235600,202210,25899.0
481235600,202211,25893.0
481235600,202212,25927.0
481235600,202301,25949.0
481235600,202302,25917.0
481235600,202303,25874.0
481235600,202304,25825.0
481235600,202305,25825.0
481235600,202306,25752.0
481235600,202307,25712.0
481235600,202308,25681.0
481235600,202309,25678.0
481235600,202310,25641.0
481235600,202311,25645.0
481235600,202312,25666.0
481235600,202401,25628.0
481235600,202402,25521.0
481235600,202403,25536.0
481235600,202404,25507.0
481235600,202405,25539.0
481235600,202406,25850.0
481235600,202407,26014.0
481235600,202408,26041.0
481235600,202409,26041.0
481235600,202410,26087.0
481235600,202411,26111.0
481235600,202412,26113.0
481235700,202012,7933.0
481235700,202101,7916.0
481235700,202102,7897.0
481235700,202103,7866.0
481235700,202104,7828.0
481235700,202105,7798.0
481235700,202106,7796.0
481235700,202107,7781.0
481235700,202108,7768.0
481235700,202109,7765.0
481235700,202110,7776.0
481235700,202111,7768.0
481235700,202112,7753.0
481235700,202201,7780.0
481235700,202202,7731.0
481235700,202203,7719.0
481235700,202204,7696.0
481235700,202205,7664.0
481235700,202206,7615.0
481235700,202207,7562.0
481235700,202208,7517.0
481235700,202209,7512.0
481235700,202210,7511.0
481235700,202211,7514.0
481235700,202212,7500.0
481235700,202301,7479.0
481235700,202302,7468.0
481235700,202303,7456.0
481235700,202304,7436.0
481235700,202305,7428.0
481235700,202306,7427.0
481235700,202307,7437.0
481235700,202308,7422.0
481235700,202309,7395.0
481235700,202310,7366.0
481235700,202311,7347.0
481235700,202312,7348.0
481235700,202401,7321.0
481235700,202402,7294.0
481235700,202403,7251.0
481235700,202404,7251.0
481235700,202405,7222.0
481235700,202406,7184.0
481235700,202407,7161.0
481235700,202408,7152.0
481235700,202409,7107.0
481235700,202410,7061.0
481235700,202411,7055.0
481235700,202412,7031.0
481253100,202012,4318.0
481253100,202101,4298.0
481253100,202102,4275.0
481253100,202103,4253.0
481253100,202104,4249.0
481253100,202105,4235.0
481253100,202106,4222.0
481253100,202107,4208.0
481253100,202108,4209.0
481253100,202109,4204.0
481253100,202110,4211.0
481253100,202111,4200.0
481253100,202112,4202.0
481253100,202201,4198.0
481253100,202202,4192.0
481253100,202203,4190.0
481253100,202204,4186.0
481253100,202205,4174.0
481253100,202206,4172.0
481253100,202207,4165.0
481253100,202208,4156.0
481253100,202209,4148.0
481253100,202210,4150.0
481253100,202211,4128.0
481253100,202212,4114.0
481253100,202301,4111.0
481253100,202302,4096.0
481253100,202303,4089.0
481253100,202304,4088.0
481253100,202305,4072.0
481253100,202306,4069.0
481253100,202307,4051.0
481253100,202308,4036.0
481253100,202309,4035.0
481253100,202310,4018.0
481253100,202311,4026.0
481253100,202312,4008.0
481253100,202401,4004.0
481253100,202402,3994.0
481253100,202403,3971.0
481253100,202404,3969.0
481253100,202405,3958.0
481253100,202406,3957.0
481253100,202407,3946.0
481253100,202408,3941.0
481253100,202409,3935.0
481253100,202410,3926.0
481253100,202411,3923.0
481253100,202412,3919.0
481253200,202012,12349.0
481253200,202101,12293.0
481253200,202102,12248.0
481253200,202103,12220.0
481253200,202104,12215.0
481253200,202105,12210.0
481253200,202106,12187.0
481253200,202107,12183.0
481253200,202108,12174.0
481253200,202109,12178.0
481253200,202110,12181.0
481253200,202111,12151.0
481253200,202112,12129.0
481253200,202201,12119.0
481253200,202202,12103.0
481253200,202203,12073.0
481253200,202204,12047.0
481253200,202205,12031.0
481253200,202206,12012.0
481253200,202207,11992.0
481253200,202208,11957.0
481253200,202209,11968.0
481253200,202210,11915.0
481253200,202211,11918.0
481253200,202212,11903.0
481253200,202301,11901.0
481253200,202302,11895.0
481253200,202303,11873.0
481253200,202304,11859.0
481253200,202305,11926.0
481253200,202306,11892.0
481253200,202307,11879.0
481253200,202308,11890.0
481253200,202309,11836.0
481253200,202310,11811.0
481253200,202311,11791.0
481253200,202312,11775.0
481253200,202401,11751.0
481253200,202402,11732.0
481253200,202403,11701.0
481253200,202404,11691.0
481253200,202405,11676.0
481253200,202406,11647.0
481253200,202407,11637.0
481253200,202408,11598.0
481253200,202409,11568.0
481253200,202410,11574.0
481253200,202411,11568.0
481253200,202412,11551.0
481253300,202012,3544.0
481253300,202101,3531.0
481253300,202102,3526.0
481253300,202103,3486.0
481253300,202104,3469.0
481253300,202105,3453.0
481253300,202106,3441.0
481253300,202107,3429.0
481253300,202108,3411.0
481253300,202109,3400.0
481253300,202110,3402.0
481253300,202111,3373.0
481253300,202112,3378.0
481253300,202201,3388.0
481253300,202202,3374.0
481253300,202203,3348.0
481253300,202204,3352.0
481253300,202205,3347.0
481253300,202206,3350.0
481253300,202207,3352.0
481253300,202208,3336.0
481253300,202209,3327.0
481253300,202210,3310.0
481253300,202211,3319.0
481253300,202212,3309.0
481253300,202301,3286.0
481253300,202302,3268.0
481253300,202303,3250.0
481253300,202304,3254.0
481253300,202305,3248.0
481253300,202306,3242.0
481253300,202307,3241.0
481253300,202308,3230.0
481253300,202309,3226.0
481253300,202310,3222.0
481253300,202311,3210.0
481253300,202312,3191.0
481253300,202401,3190.0
481253300,202402,3188.0
481253300,202403,3166.0
481253300,202404,3155.0
481253300,202405,3142.0
481253300,202406,3136.0
481253300,202407,3129.0
481253300,202408,3139.0
481253300,202409,3127.0
481253300,202410,3114.0
481253300,202411,3110.0
481253300,202412,3110.0
481253400,202012,4004.0
481253400,202101,3997.0
481253400,202102,3983.0
481253400,202103,3950.0
481253400,202104,3934.0
481253400,202105,3936.0
481253400,202106,3936.0
481253400,202107,3920.0
481253400,202108,3900.0
481253400,202109,3877.0
481253400,202110,3872.0
481253400,202111,3864.0
481253400,202112,3848.0
481253400,202201,3847.0
481253400,202202,3845.0
481253400,202203,3837.0
481253400,202204,3824.0
481253400,202205,3824.0
481253400,202206,3823.0
481253400,202207,3827.0
481253400,202208,3823.0
481253400,202209,3812.0
481253400,202210,3800.0
481253400,202211,3784.0
481253400,202212,3770.0
481253400,202301,3758.0
481253400,202302,3749.0
481253400,202303,3751.0
481253400,202304,3753.0
481253400,202305,3758.0
481253400,202306,3751.0
481253400,202307,3743.0
481253400,202308,3707.0
481253400,202309,3699.0
481253400,202310,3701.0
481253400,202311,3689.0
481253400,202312,3687.0
481253400,202401,3678.0
481253400,202402,3689.0
481253400,202403,3680.0
481253400,202404,3675.0
481253400,202405,3672.0
481253400,202406,3667.0
481253400,202407,3656.0
481253400,202408,3644.0
481253400,202409,3632.0
481253400,202410,3632.0
481253400,202411,3631.0
481253400,202412,3630.0
481255100,202012,14293.0
481255100,202101,14217.0
481255100,202102,14128.0
481255100,202103,14179.0
481255100,202104,14171.0
481255100,202105,14171.0
481255100,202106,14101.0
481255100,202107,14124.0
481255100,202108,14111.0
481255100,202109,14117.0
481255100,202110,14110.0
481255100,202111,14114.0
481255100,202112,14124.0
481255100,202201,14089.0
481255100,202202,14064.0
481255100,202203,14015.0
481255100,202204,13998.0
481255100,202205,13979.0
481255100,202206,13985.0
481255100,202207,13967.0
481255100,202208,13931.0
481255100,202209,13923.0
481255100,202210,13926.0
481255100,202211,13915.0
481255100,202212,13916.0
481255100,202301,13904.0
481255100,202302,13881.0
481255100,202303,13858.0
481255100,202304,13851.0
481255100,202305,13857.0
481255100,202306,13868.0
481255100,202307,13874.0
481255100,202308,13854.0
481255100,202309,13799.0
481255100,202310,13740.0
481255100,202311,13726.0
481255100,202312,13730.0
481255100,202401,13745.0
481255100,202402,13714.0
481255100,202403,13686.0
481255100,202404,13628.0
481255100,202405,13618.0
481255100,202406,13602.0
481255100,202407,13592.0
481255100,202408,13590.0
481255100,202409,13608.0
481255100,202410,13609.0
481255100,202411,13608.0
481255100,202412,13605.0
481255200,202012,941.0
481255200,202101,976.0
481255200,202102,986.0
481255200,202103,982.0
481255200,202104,980.0
481255200,202105,964.0
481255200,202106,960.0
481255200,202107,963.0
481255200,202108,1014.0
481255200,202109,1082.0
481255200,202110,1203.0
481255200,202111,1312.0
481255200,202112,1543.0
481255200,202201,1624.0
481255200,202202,1693.0
481255200,202203,1816.0
481255200,202204,1832.0
481255200,202205,1834.0
481255200,202206,1840.0
481255200,202207,1865.0
481255200,202208,2084.0
481255200,202209,2131.0
481255200,202210,2167.0
481255200,202211,2205.0
481255200,202212,2236.0
481255200,202301,2284.0
481255200,202302,2295.0
481255200,202303,2292.0
481255200,202304,2290.0
481255200,202305,2279.0
481255200,202306,2263.0
481255200,202307,2270.0
481255200,202308,2275.0
481255200,202309,2343.0
481255200,202310,2453.0
481255200,202311,2559.0
481255200,202312,2704.0
481255200,202401,2766.0
481255200,202402,2850.0
481255200,202403,3375.0
481255200,202404,3916.0
481255200,202405,4196.0
481255200,202406,4371.0
481255200,202407,4576.0
481255200,202408,4738.0
481255200,202409,4809.0
481255200,202410,4868.0
481255200,202411,4885.0
481255200,202412,4982.0
481255300,202012,35173.0
481255300,202101,36355.0
481255300,202102,38039.0
481255300,202103,39226.0
481255300,202104,40073.0
481255300,202105,40647.0
481255300,202106,41360.0
481255300,202107,41675.0
481255300,202108,42000.0
481255300,202109,42135.0
481255300,202110,42290.0
481255300,202111,42361.0
481255300,202112,42370.0
481255300,202201,42372.0
481255300,202202,42383.0
481255300,202203,42404.0
481255300,202204,42398.0
481255300,202205,42407.0
481255300,202206,42424.0
481255300,202207,42378.0
481255300,202208,42333.0
481255300,202209,42307.0
481255300,202210,42275.0
481255300,202211,42240.0
481255300,202212,42156.0
481255300,202301,42110.0
481255300,202302,42027.0
481255300,202303,42053.0
481255300,202304,42002.0
481255300,202305,42014.0
481255300,202306,42080.0
481255300,202307,42112.0
481255300,202308,42057.0
481255300,202309,41941.0
481255300,202310,41792.0
481255300,202311,41755.0
481255300,202312,41769.0
481255300,202401,41619.0
481255300,202402,41495.0
481255300,202403,41424.0
481255300,202404,41380.0
481255300,202405,41347.0
481255300,202406,41285.0
481255300,202407,41241.0
481255300,202408,41206.0
481255300,202409,41124.0
481255300,202410,41048.0
481255300,202411,41024.0
481255300,202412,40977.0
481255400,202012,11277.0
481255400,202101,11235.0
481255400,202102,11204.0
481255400,202103,11173.0
481255400,202104,11136.0
481255400,202105,11130.0
481255400,202106,11124.0
481255400,202107,11109.0
481255400,202108,11078.0
481255400,202109,11089.0
481255400,202110,11091.0
481255400,202111,11026.0
481255400,202112,10983.0
481255400,202201,10970.0
481255400,202202,11012.0
481255400,202203,11061.0
481255400,202204,11075.0
481255400,202205,11071.0
481255400,202206,11064.0
481255400,202207,11092.0
481255400,202208,11097.0
481255400,202209,11092.0
481255400,202210,11107.0
481255400,202211,11134.0
481255400,202212,11110.0
481255400,202301,11077.0
481255400,202302,11112.0
481255400,202303,11119.0
481255400,202304,11134.0
481255400,202305,11108.0
481255400,202306,11104.0
481255400,202307,11118.0
481255400,202308,11117.0
481255400,202309,11079.0
481255400,202310,11030.0
481255400,202311,11019.0
481255400,202312,10978.0
481255400,202401,10945.0
481255400,202402,10944.0
481255400,202403,10972.0
481255400,202404,10938.0
481255400,202405,10941.0
481255400,202406,10915.0
481255400,202407,10886.0
481255400,202408,10861.0
481255400,202409,10857.0
481255400,202410,10864.0
481255400,202411,10825.0
481255400,202412,10762.0
481255650,202012,14882.0
481255650,202101,14811.0
481255650,202102,14740.0
481255650,202103,14670.0
481255650,202104,14675.0
481255650,202105,14642.0
481255650,202106,14615.0
481255650,202107,14594.0
481255650,202108,14535.0
481255650,202109,14505.0
481255650,202110,14457.0
481255650,202111,14489.0
481255650,202112,14460.0
481255650,202201,14419.0
481255650,202202,14353.0
481255650,202203,14336.0
481255650,202204,14298.0
481255650,202205,14261.0
481255650,202206,14222.0
481255650,202207,14196.0
481255650,202208,14184.0
481255650,202209,14102.0
481255650,202210,14073.0
481255650,202211,14016.0
481255650,202212,13964.0
481255650,202301,13926.0
481255650,202302,13884.0
481255650,202303,13868.0
481255650,202304,13846.0
481255650,202305,13837.0
481255650,202306,13844.0
481255650,202307,13807.0
481255650,202308,13813.0
481255650,202309,13732.0
481255650,202310,13636.0
