station_id,station_name,lat,lon,nearest_hub_id,nearest_hub_name,dist_km
CWB379003253,신성주유소,35.36235582,128.7075771,CWB379000951,신세계백화점,19.333592231484992
CWB379003254,신등초교,35.32086796,128.6983388,CWB379000951,신세계백화점,15.188265511175842
CWB379003255,신등초교,35.32077974,128.6982524,CWB379000951,신세계백화점,15.175729448918267
CWB379003256,곰티고개,35.25165247,128.5447904,CWB379000951,신세계백화점,5.295657918306295
CWB379003257,곰티고개,35.25171471,128.5449417,CWB379000951,신세계백화점,5.290409105166813
CWB379003258,마창대교,35.16460807,128.5999369,CWB379001418,"경남대,서중학교",4.135846577105703
CWB379003259,마창대교,35.16464047,128.6000771,CWB379001418,"경남대,서중학교",4.146166930109565
CWB379003261,대한민국민주주의전당,35.19236952,128.56804851,CWB379001331,중부경찰서,0.27502385251359424
CWB379003262,대한민국민주주의전당,35.19273294,128.5679309,CWB379001312,경동메르빌APT,0.24468310895585102
CWB379003263,이마트,35.22663265,128.6793433,CWB379000951,신세계백화점,8.447581104109048
CWB379003264,수치,35.1062103,128.70520806,CWB379001418,"경남대,서중학교",15.662836731261613
CWB379003265,수치,35.10660002,128.70537246,CWB379001418,"경남대,서중학교",15.653281344509885
CWB379003268,임곡삼거리,35.10567447,128.4297695,CWB379001418,"경남대,서중학교",14.281813527162104
CWB379003269,임곡삼거리,35.10633033,128.4308111,CWB379001418,"경남대,서중학교",14.16226937856401
CWB379003271,창원경상대병원동문,35.19964082,128.7089206,CWB379001031,산호동,11.268943586283875
CWB379003272,창원경상대병원동문,35.19972974,128.7087205,CWB379001031,산호동,11.249456538724665
CWB379003273,영학리,35.15810875,128.4291685,CWB379001418,"경남대,서중학교",11.995433960288567
CWB379003274,영학리,35.15800842,128.4290962,CWB379001418,"경남대,서중학교",12.004091541739491
CWB379003275,우암리,35.32910245,128.7185492,CWB379000951,신세계백화점,17.11238873926996
CWB379003276,우암리,35.32903593,128.7187369,CWB379000951,신세계백화점,17.119069723742406
CWB379003277,양곡로,35.18955436,128.6353649,CWB379001031,산호동,5.245263652766329
CWB379003278,갈전리,35.36320356,128.6788298,CWB379000951,신세계백화점,18.062816161722356
CWB379003279,갈전리,35.36310782,128.6788137,CWB379000951,신세계백화점,18.052719969269678
CWB379003280,금산리,35.3277582,128.6685011,CWB379000951,신세계백화점,14.175366018191268
CWB379003281,금산리,35.32767497,128.6685304,CWB379000951,신세계백화점,14.16889059208325
CWB379003282,아름다운요양원,35.36488985,128.70459473,CWB379000951,신세계백화점,19.414969101557134
CWB379003283,아름다운요양원,35.36484442,128.7047808,CWB379000951,신세계백화점,19.420096133663357
CWB379003285,욱곡마을회관앞,35.09565434,128.5569553,CWB379001418,"경남대,서중학교",9.287777165947814
CWB379003286,힐스테이트1차,35.30235358,128.5974387,CWB379000951,신세계백화점,9.312012544444515
CWB379003287,감계휴먼빌,35.30221691,128.5938615,CWB379000951,신세계백화점,9.26950079089518
CWB379003288,야촌마을회관,35.11923491,128.4949625,CWB379001418,"경남대,서중학교",8.818207921967964
CWB379003289,야촌마을회관,35.11927125,128.4951077,CWB379001418,"경남대,서중학교",8.806503736736365
CWB379003290,행복가득한집,35.35693384,128.6151133,CWB379000951,신세계백화점,15.532247566319665
CWB379003291,행복가득한집,35.35684895,128.6151584,CWB379000951,신세계백화점,15.523630586030077
CWB379003292,무릉도원,35.16401575,128.6620894,CWB379001114,자유무역지역정문,8.788435469536807
CWB379003293,동읍보건지소,35.27968894,128.6884912,CWB379000951,신세계백화점,11.437126663928597
CWB379003294,동읍보건지소,35.27952149,128.6885504,CWB379000951,신세계백화점,11.430534381980436
CWB379003295,새마을금고,35.27894273,128.6860167,CWB379000951,신세계백화점,11.206616990933382
CWB379003296,새마을금고,35.27882421,128.6860081,CWB379000951,신세계백화점,11.198173698338705
CWB379003298,중동초등학교,35.25900202,128.6258575,CWB379000951,신세계백화점,5.68387009541207
CWB379003299,창원과학고등학교,35.25541573,128.6224234,CWB379000951,신세계백화점,5.177804355031102
CWB379003300,창원과학고등학교,35.25588676,128.6232407,CWB379000951,신세계백화점,5.265071098733308
CWB379003301,고향의봄도서관,35.25518428,128.618673,CWB379000951,신세계백화점,4.951750786382809
CWB379003302,고향의봄도서관,35.2552336,128.618199,CWB379000951,신세계백화점,4.9312682358993944
CWB379003303,벽산블루밍아파트,35.25900707,128.61293574,CWB379000951,신세계백화점,5.038284256637159
CWB379003304,벽산블루밍아파트,35.25849744,128.61347502,CWB379000951,신세계백화점,5.011738727935747
CWB379003306,불모산종점,35.190059,128.723547,CWB379001031,산호동,12.772953014598489
CWB379003307,요장리,35.10928919,128.4924432,CWB379001418,"경남대,서중학교",9.818766442021392
CWB379003308,요장리,35.10914163,128.492531,CWB379001418,"경남대,서중학교",9.826859181191047
CWB379003312,몽카페,35.10424531,128.7009303,CWB379001418,"경남대,서중학교",15.447328747230687
CWB379003313,몽카페,35.10413171,128.700927,CWB379001418,"경남대,서중학교",15.453888069856358
CWB379003320,합성초등학교,35.2431629,128.58243924,CWB379000951,신세계백화점,2.728007097451078
CWB379003321,합성초등학교,35.24333243,128.58274189,CWB379000951,신세계백화점,2.742508796270843
CWB379003322,합성동무학아파트,35.23989201,128.5802099,CWB379000951,신세계백화점,2.414365120819489
CWB379003324,푸르지오아파트,35.30034053,128.58631,CWB379000951,신세계백화점,9.04083325754916
CWB379003325,감계중학교,35.30050134,128.5865042,CWB379000951,신세계백화점,9.058562546297626
