gu_nm,year,month,yyyymm,youth20_39_persons,youth_pop_year_avg,youth_hh,youth_hh_month,demand_rate_12m,demand_rate_18m,demand_inc_12m,demand_inc_18m,persons_per_youth_household,demand_inc_12m_hh,demand_inc_18m_hh
성산구,2021,4,202104,60711,66345.41667,22889,20945.14058,,,,,2.8985720944729034,0.0,0.0
성산구,2021,5,202105,60556,66345.41667,22889,20891.66598,,,,,2.898572093674647,0.0,0.0
성산구,2021,6,202106,60454,66345.41667,22889,20856.47623,,,,,2.898572094985194,0.0,0.0
성산구,2021,7,202107,72421,66345.41667,22889,24985.0608,,,,,2.898572093929025,0.0,0.0
성산구,2021,8,202108,72143,66345.41667,22889,24889.1515,,,,,2.898572094753813,0.0,0.0
성산구,2021,9,202109,72030,66345.41667,22889,24850.16679,,,,,2.8985720944531335,0.0,0.0
성산구,2021,10,202110,71766,66345.41667,22889,24759.08746,,,,,2.8985720946275944,0.0,0.0
성산구,2021,11,202111,71456,66345.41667,22889,24652.13825,,,,,2.898572094451077,0.0,0.0
성산구,2021,12,202112,71150,66345.41667,22889,24546.56903,,,,,2.8985720942524735,0.0,0.0
성산구,2022,1,202201,71011,69907.83333,23005,23368.02583,0.0499109230263168,0.0757929182250474,3544.2245550217845,5382.130916078841,3.0388104034374908,1166.3197384781133,1771.1308708139854
성산구,2022,2,202202,70498,69907.83333,23005,23199.20977,0.0442269954569143,0.067068684272501,3117.9147257215463,4728.208103842776,3.038810403411426,1026.0313451017926,1555.9404754356508
성산구,2022,3,202203,70305,69907.83333,23005,23135.69807,0.0411721308962209,0.0623895794301878,2894.6066626588145,4386.299381839357,3.0388104040467367,952.5459893134865,1443.4264724111088
성산구,2022,4,202204,70410,69907.83333,23005,23170.25107,0.0403072151597017,0.0610660423594737,2838.031019394597,4299.660042530548,3.038810403360899,933.9282951827986,1414.9155333202623
성산구,2022,5,202205,70373,69907.83333,23005,23158.07525,0.0386060835302954,0.0584644912799232,2716.8259162774843,4114.32164484204,3.038810403727313,894.0425875023685,1353.9250885134318
성산구,2022,6,202206,70215,69907.83333,23005,23106.08122,0.0362860706197143,0.054919914366257,2547.826448563242,3856.201787226742,3.0388104036968326,838.4288948937751,1268.9840019421813
성산구,2022,7,202207,70028,69907.83333,23005,23044.54398,0.0339520557525316,0.0513579464153803,2377.594560238289,3596.4942715762577,3.038810403919306,782.4096420006284,1183.5204548917166
성산구,2022,8,202208,69726,69907.83333,23005,22945.16299,0.0311125588410314,0.047029974338286,2169.354277749761,3279.2119907113324,3.03881040332501,713.8827336434329,1079.1104266074906
성산구,2022,9,202209,69493,69907.83333,23005,22868.48825,0.0288335724139656,0.0435606419584251,2003.731447763716,3027.1596916168373,3.0388104032193737,659.3802119542979,996.1660287887019
성산구,2022,10,202210,69205,69907.83333,23005,22773.71432,0.0263965479678962,0.0398549753041101,1826.7731021182603,2758.163565920946,3.0388104034142467,601.1474424550457,907.6458218064606
성산구,2022,11,202211,68957,69907.83333,23005,22692.10344,0.0243116395081097,0.0366882151866891,1676.4577255607255,2529.9092546285265,3.0388104030253795,551.6822385140176,832.53277404533
성산구,2022,12,202212,68673,69907.83333,23005,22598.64581,0.0221615286900933,0.0334257933677861,1521.8986597347812,2295.44950794598,3.038810403834547,500.82053747557313,755.3776652368468
성산구,2023,1,202301,68404,67337.91667,22371,22725.17416,0.020203774416331,0.0304582222391129,1382.018985174708,2083.4642340442847,3.010053939230185,459.134292300475,692.1684049878277
성산구,2023,2,202302,68016,67337.91667,22371,22596.27282,0.0208395154319811,0.031421568905571,1417.4204816216295,2137.1694306813183,3.010053938621193,470.89537613764605,710.0103434227115
성산구,2023,3,202303,67841,67337.91667,22371,22538.13433,0.021285461903872,0.0320974964605504,1444.0270210205829,2177.5262573802056,3.0100539382134386,479.73459966556555,723.4176868845865
성산구,2023,4,202304,67766,67337.91667,22371,22513.21783,0.0214545765870854,0.0323538646452197,1453.8908370004356,2192.4919915479595,3.010053938611049,483.0115561554737,728.3896024001673
성산구,2023,5,202305,67682,67337.91667,22371,22485.31135,0.0221266194570028,0.0333728529182577,1497.57385808887,2258.741431213521,3.0100539390574195,497.5239276136781,750.3989885047816
성산구,2023,6,202306,67515,67337.91667,22371,22429.83062,0.0226747822328121,0.0342042554975561,1530.8879224483132,2309.3003099175016,3.0100539386061578,508.59152482736226,767.1956572933877
성산구,2023,7,202307,67372,67337.91667,22371,22382.32316,0.0231205830539635,0.0348805692515901,1557.6799215116346,2349.973711618129,3.010053939369536,517.4923615614326,780.7081729938492
성산구,2023,8,202308,67133,67337.91667,22371,22302.92259,0.0234681464821224,0.035407951639097,1575.4870777843282,2377.042017387502,3.010053939303029,523.4082543215584,789.7008044772449
성산구,2023,9,202309,66932,67337.91667,22371,22236.14638,0.0238811080470775,0.0360346836263096,1598.4103238069945,2411.87344447616,3.010053939031499,531.0238142514123,801.2724998716113
성산구,2023,10,202310,66682,67337.91667,22371,22153.09139,0.0235412066158706,0.0355188223003211,1569.774739559488,2368.466108630012,3.0100539390227286,521.5105015922555,786.8517164841836
