순번,정류소 아이디,정류소명,방면,X좌표,Y좌표
311,640557,구지마을,,128.87018519,35.25661032
312,308101,국군마산병원,임곡삼거리 방면,128.435441,35.10606255
313,308102,국군마산병원,진목마을 방면,128.4348966,35.10592609
314,300626,국립마산병원,고운초등학교 방면,128.5662868,35.16808271
315,300625,국립마산병원,가포고등학교 방면,128.5662876,35.16795642
316,217401,국민은행,중앙동 방면,128.6803582,35.22154643
317,640452,국민은행,,128.88140929,35.2339585
318,208001,국방기술품질원,창원경상대병원정문 방면,128.7120228,35.19809208
319,208002,국방기술품질원,프리빌리지2차아파트 방면,128.7120417,35.19787676
320,630356,국제물류,,128.7652884,35.09083148
321,422702,국제아파트,호계 방면,128.5214149,35.26291181
322,422701,국제아파트,호계농협 방면,128.5212068,35.26282554
323,407219,국제주유소,석전사거리 방면,128.5710904,35.22228848
324,407218,국제주유소,동중입구 방면,128.5707652,35.22081443
325,630089,군농협,,128.4030269,35.27715037
326,309201,군령,작은골 방면,128.5453282,35.11798143
327,309202,군령,윗석곡 방면,128.5453375,35.11780732
328,322119,군령삼거리,,128.5409056,35.1185428
329,322118,군령삼거리,마전 방면,128.5403527,35.11838219
330,322117,군령삼거리,드라마세트장 방면,128.5407961,35.11836148
331,119310,굴현고개,대동농원 방면,128.6160901,35.27730647
332,119309,굴현고개,천주암 방면,128.6161063,35.27675083
333,315301,궁개,윗용호 방면,128.6021612,35.07609092
334,315302,궁개,난포리 방면,128.6024015,35.07619535
335,202303,귀산,석교종점 방면,128.61305269,35.16363483
336,216003,귀산,삼귀민원센터 방면,128.61319453,35.16362791
337,107603,극동아파트,창원웨딩의전당 방면,128.6136884,35.25471506
338,107604,극동아파트,팔룡중학교 방면,128.6136132,35.25454874
339,302401,근곡마을,,128.445919,35.11421248
340,523205,글로벌물류센터,,128.8128627,35.08301142
341,523204,글로벌물류센터,,128.8127569,35.0833043
342,640457,금강병원,,128.88252125,35.22848679
343,640458,금강병원,,128.88247975,35.22740376
344,402505,금강테니스장,합성북18길 방면,128.5860753,35.24635895
345,402504,금강테니스장,강남맨션 방면,128.585867,35.24612714
346,104627,금동,용산 방면,128.6669378,35.33319449
347,104630,금동,양교 방면,128.6670842,35.33312544
348,630380,금병초등학교,,128.7352532,35.31021496
349,630381,금병초등학교,,128.73546019,35.31012637
350,321405,금산1반,학동마을회관 방면,128.4456952,35.14875388
351,321406,금산1반,대밭골교 방면,128.4455914,35.14864435
352,321411,금산1반,금산마을 방면,128.44611961,35.15139954
353,321412,금산1반,대밭골교 방면,128.44622924,35.15139373
354,104657,금산리,원금산 방면,128.6685011,35.3277582
355,104658,금산리,용산 방면,128.6685304,35.32767497
356,104626,금산마을,금산리 방면,128.6637451,35.32344425
357,104623,금산마을,마룡 방면,128.6635343,35.32323176
358,321409,금산마을,금산마을입구 방면,128.447732,35.150047
359,321410,금산마을,대밭골교 방면,128.447689,35.150127
360,321612,금산마을입구,금산마을 방면,128.4504695,35.14601436
361,321611,금산마을입구,이목마을 방면,128.4503454,35.14595394
362,302701,금암(중촌)마을,,128.38243148,35.13820038
363,302702,금암(중촌)마을,,128.38240829,35.13812629
364,315206,금암마을,거락마을 방면,128.3743426,35.13687726
365,315205,금암마을,대정 방면,128.3742915,35.13678076
366,640420,금음,,128.81681463,35.28566924
367,640421,금음,,128.81704115,35.2856005
368,300641,금호어울림아파트,가포본동 방면,128.57905082,35.1565599
369,115313,금호온천,,128.6292549,35.26154856
370,504002,금화맨션,중앙초교후문 방면,128.6709747,35.15376184
371,504001,금화맨션,중앙시장 방면,128.6708784,35.15385514
372,630416,기술병과학교,,128.65870837,35.14393696
373,630417,기술병과학교,,128.65894393,35.14392022
374,322011,기업은행앞어시장,어시장복국거리 방면,128.576882,35.20134171
375,322012,기업은행앞어시장,마산소방서 방면,128.5758038,35.2009354
376,630111,기영아파트,공정 방면,128.7463525,35.30170109
377,630116,기영아파트,진영협성휴포레 방면,128.7463255,35.30182864
378,108922,길상사입구,창원대동문 방면,128.7000065,35.2399871
379,630392,김해공방마을,화촌윗마을 방면,128.80212503,35.17815977
380,640478,김해도서관,,128.87389875,35.23250699
381,640479,김해도서관,,128.87415563,35.23269226
382,640546,김해문화의전당,,128.87008007,35.24438287
383,640547,김해문화의전당,,128.87006504,35.24456559
384,640476,김해보건소,,128.86954009,35.23067065
385,640477,김해보건소,,128.87118904,35.23133232
386,640534,김해생명과학고,,128.85655551,35.23623039
387,640535,김해생명과학고,,128.85719921,35.23640075
388,640448,김해여고,,128.87941211,35.23986977
