정류소ID,서비스ID,정류소명,방면,유형,설치유형,관할관청,X좌표,Y좌표,방위각,동코드,수정일,생성일
379001167,400802,감천초등학교,신감삼거리 방면,0,,379,128.5153456,35.20643538,0,내서읍,2023.12.14 15:30,2023.5.26 17:48
379001170,400801,감천초등학교,감천 방면,0,,379,128.5152621,35.20637334,0,내서읍,2023.12.14 15:30,2023.5.26 17:48
379001342,630054,갑오마을,,0,,379,128.7978299,35.18722156,0,,2023.5.26 17:48,2023.5.26 17:48
379001345,630055,갑오마을,,0,,379,128.7973206,35.18731289,0,,2023.5.26 17:48,2023.5.26 17:48
379005835,640601,갑을녹산병원,,0,,,128.852441,35.08970663,,,2023.12.6 12:00,2023.7.28 13:19
379005836,640602,갑을녹산병원,,0,,,128.8527806,35.08957077,,,2023.12.6 12:00,2023.7.28 13:20
379001690,320704,개양마을,양촌리 방면,0,,379,128.3822365,35.12739925,0,진전면,2023.5.26 17:48,2023.5.26 17:48
379001691,320703,개양마을,대정입구 방면,0,,379,128.3826634,35.12714415,0,진전면,2023.5.26 17:48,2023.5.26 17:48
379001473,207804,갯마을,갯마을입구 방면,0,,379,128.6082435,35.16403823,0,귀산동,2023.5.26 17:48,2023.5.26 17:48
379001474,207803,갯마을,삼귀민원센터 방면,0,,379,128.6081833,35.16389239,0,귀산동,2023.5.26 17:48,2023.5.26 17:48
379001478,207806,갯마을입구,마창대교 방면,0,,379,128.6032168,35.16237314,0,귀산동,2023.11.29 13:10,2023.5.26 17:48
379001479,207805,갯마을입구,갯마을 방면,0,,379,128.6033248,35.1619774,0,귀산동,2023.5.26 17:48,2023.5.26 17:48
379001629,315207,거락마을,금암마을 방면,0,,379,128.3723671,35.14163285,0,진전면,2023.5.26 17:48,2023.5.26 17:48
379001630,315208,거락마을,의산보건진료소 방면,0,,379,128.3725061,35.14160386,0,진전면,2023.5.26 17:48,2023.5.26 17:48
379002092,630123,거성아파트,대근아파트 방면,0,,379,128.7144713,35.30485908,0,,2023.5.26 17:48,2023.5.26 17:48
379003508,630363,거성아파트,부곡 방면,0,,385,128.7152525,35.30471551,0,,2024.9.6 16:00,2023.5.26 17:48
379003351,119371,거풍힐링빌,북면온천 방면,0,,379,128.6131493,35.35620503,0,북면,2023.5.26 17:48,2023.5.26 17:48
379003352,119372,거풍힐링빌,행복가득한집 방면,0,,379,128.6132265,35.35613607,0,북면,2023.5.26 17:48,2023.5.26 17:48
