adm_cd,adm_nm,area_km2,n_routes,stops_density,routes_density,mean_dist_km,p10_dist_km,p90_dist_km,BPH_mean,BPH_median,headway_mean_s_mean,headway_mean_s_median,headway_cv_mean,headway_cv_median,n_stops_with_b1b2,adm_key,tot_2024_12,m_2024_12,f_2024_12,youth_20_34,youth_share_2034
3811459,경상남도 창원시마산회원구 합성2동,2.546112702722979,168,6.284089460332434,65.98293933349056,2.4584466603271187,1.9806644084282952,2.88517512860642,,,,,,,0,경상남도창원시마산회원구합성동,16941.0,8511.0,8430.0,2805.0,0.1655746414025146
3811460,경상남도 창원시마산회원구 구암1동,3.4732450540961173,157,7.197879680420661,45.20268439304175,3.820329297104733,3.244773194444183,4.308631550862854,,,,,,,0,경상남도창원시마산회원구구암동,16851.0,8406.0,8445.0,2553.0,0.15150436175894605
3811461,경상남도 창원시마산회원구 구암2동,0.7642881785288244,242,19.626104944961263,316.6344931120418,3.2988302522397985,2.785655181693255,3.6929929989796944,,,,,,,0,경상남도창원시마산회원구구암동,16851.0,8406.0,8445.0,2553.0,0.15150436175894605
3811462,경상남도 창원시마산회원구 봉암동,5.649566154116373,122,3.0090806154404444,21.594578534337305,1.5380346992970646,0.8236237968677148,2.409703636462391,,,,,,,0,경상남도창원시마산회원구봉암동,2840.0,1577.0,1263.0,370.0,0.13028169014084506
3811463,경상남도 창원시마산회원구 석전동,2.0940989379748416,315,9.550647124314754,150.42269220795737,1.922276134328184,1.5324289296858409,2.3387131018258023,,,,,,,0,경상남도창원시마산회원구석전동,15821.0,7820.0,8001.0,2299.0,0.1453131913279818
3811554,경상남도 창원시진해구 여좌동,4.704499646230612,146,5.31406140502758,31.034118605361066,9.059308031836146,8.409520610752406,9.59287972405254,,,,,,,0,경상남도창원시진해구여좌동,7811.0,3884.0,3927.0,1013.0,0.12968890026885163
3811555,경상남도 창원시진해구 태백동,1.2212482303017085,89,12.282515239587502,72.87625708821918,10.420662878087164,10.192110813274988,10.64041022659161,,,,,,,0,경상남도창원시진해구태백동,3459.0,1732.0,1727.0,447.0,0.12922810060711187
3811556,경상남도 창원시진해구 경화동,3.041796269108699,86,7.5613216550954,28.272767927748017,10.87674727916638,10.42078879080319,11.39332513667717,,,,,,,0,경상남도창원시진해구경화동,10466.0,5289.0,5177.0,1418.0,0.13548633670934454
3811557,경상남도 창원시진해구 병암동,1.2340210279149075,46,4.862153775562512,37.27651227931259,11.44609069566402,11.204793222694612,11.601785046608796,,,,,,,0,경상남도창원시진해구병암동,6862.0,3373.0,3489.0,966.0,0.1407752841737103
3811558,경상남도 창원시진해구 석동,2.258558045753931,49,5.313124461228656,21.69525821668368,12.349618404304929,11.860031628787716,12.892660521908224,,,,,,,0,경상남도창원시진해구석동,17098.0,8841.0,8257.0,3100.0,0.18130775529301674
3811559,경상남도 창원시진해구 이동,0.9043570181954024,73,14.37485388894402,80.72033337637797,12.17853695326838,11.826513504243945,12.609665279734344,,,,,,,0,경상남도창원시진해구이동,8221.0,4373.0,3848.0,1483.0,0.18039167984430118
3811560,경상남도 창원시진해구 자은동,5.442345525754507,71,4.40986333675915,13.045845704579152,13.35213828062649,13.08734036949012,13.793675734925207,,,,,,,0,경상남도창원시진해구자은동,20215.0,10102.0,10113.0,2969.0,0.1468711352955726
3811561,경상남도 창원시진해구 덕산동,2.429091722651452,68,7.821853667699599,27.994002600188043,13.29414009653829,12.958889652738897,13.546286647665369,,,,,,,0,경상남도창원시진해구덕산동,9248.0,4575.0,4673.0,1560.0,0.16868512110726644
3811562,경상남도 창원시진해구 풍호동,8.573330392505488,217,5.598757752525198,25.31105067287433,14.545672501165962,13.847312606717948,15.559264334046588,,,,,,,0,경상남도창원시진해구풍호동,24805.0,12359.0,12446.0,3044.0,0.1227171941140899
3811563,경상남도 창원시진해구 웅천동,28.190019591824544,212,2.8733573503258936,7.520392077396166,18.46443414541859,16.56209199316192,20.33497101869948,,,,,,,0,경상남도창원시진해구웅천동,13886.0,6979.0,6907.0,2130.0,0.1533919055163474
3811564,경상남도 창원시진해구 웅동1동,32.38898567667505,141,1.4202358931273027,4.353331759368471,20.779671658904387,19.883569276359506,21.82040993999764,,,,,,,0,경상남도창원시진해구웅동동,51173.0,27668.0,23505.0,8129.0,0.158853301545737
3811565,경상남도 창원시진해구 웅동2동,15.280903209250994,265,5.431616106942694,17.341906847467637,24.28738489842086,23.11291821936845,25.402841712752885,,,,,,,0,경상남도창원시진해구웅동동,51173.0,27668.0,23505.0,8129.0,0.158853301545737
3811566,경상남도 창원시진해구 충무동,18.13138630153564,267,2.592190096132877,14.725845865265494,9.99374388013576,9.311852052254364,10.978473930921233,,,,,,,0,경상남도창원시진해구충무동,15495.0,8010.0,7485.0,2905.0,0.18747983220393674
