adm9,yyyymm,year,rent_p50,rent_mean,n_obs,reliability
481215200,202103,2021,7.820914491747801e-05,8.033103309213773e-05,40,ok
481215200,202104,2021,8.244508568399969e-05,8.727215174803425e-05,22,ok
481215200,202105,2021,9.171252292813072e-05,9.079127283151608e-05,29,ok
481215200,202106,2021,8.973288814691151e-05,9.154610682642276e-05,47,ok
481215200,202107,2021,7.942546583850932e-05,7.659654553728875e-05,261,ok
481215200,202108,2021,7.022515527950311e-05,7.470999359129428e-05,153,ok
481215200,202109,2021,7.942546583850932e-05,8.314684375136823e-05,63,ok
481215200,202110,2021,7.819625906633763e-05,8.467991757311826e-05,62,ok
481215200,202111,2021,9.120389136603152e-05,9.206735611618256e-05,41,ok
481215200,202112,2021,7.5125208681135e-05,8.541865867011125e-05,39,ok
481215200,202201,2022,8.629710792968376e-05,8.90050509893846e-05,52,ok
481215200,202202,2022,8.004718570947075e-05,8.687164321053303e-05,48,ok
