lawd_cd,deal_ym,housing_type,aptNm,exclusive_m2,deposit,rent,deposit_per_m2,rent_per_m2,buildYear,contractDay,dong,roadAddr
48123,202507,APT,일동,,,60,,,1986,,용호동,
48123,202507,APT,대동,,,75,,,1994,,상남동,
48123,202507,APT,트리비앙,,,0,,,2006,,반림동,
48123,202507,APT,우성,,,0,,,1989,,남양동,
48123,202507,APT,은아,,,40,,,1987,,가음동,
48123,202507,APT,대방그린빌,,,50,,,1996,,대방동,
48123,202507,APT,피오르빌,,,0,,,1995,,남양동,
48123,202507,APT,트리비앙,,,0,,,2006,,반림동,
48123,202507,APT,성원남산3차,,,0,,,1992,,대방동,
48123,202507,APT,센트럴시티,,,37,,,1987,,가음동,
48123,202507,APT,노블파크,,,0,,,2007,,반림동,
48123,202507,APT,대동,,,20,,,1992,,대방동,
48123,202507,APT,무궁화,,,45,,,1988,,사파동,
48123,202507,APT,럭키,,,0,,,1989,,반림동,
48123,202507,APT,성원,,,0,,,1994,,상남동,
48123,202507,APT,성산삼정그린코아웰레스트,,,0,,,2024,,안민동,
48123,202507,APT,대동,,,0,,,1992,,대방동,
48123,202507,APT,삼익,,,0,,,1988,,사파동,
48123,202507,APT,대방그린빌,,,0,,,1996,,대방동,
48123,202507,APT,우성,,,0,,,1989,,남양동,
48123,202507,APT,피오르빌,,,45,,,1995,,남양동,
48123,202507,APT,성원남산3차,,,10,,,1992,,대방동,
48123,202507,APT,은아,,,0,,,1988,,신월동,
48123,202507,APT,롯데2단지,,,0,,,1987,,용호동,
48123,202507,APT,센트럴시티,,,0,,,1987,,가음동,
48123,202507,APT,일동,,,0,,,1986,,용호동,
48123,202507,APT,피오르빌,,,55,,,1995,,남양동,
48123,202507,APT,동성,,,0,,,1992,,사파동,
48123,202507,APT,대동,,,0,,,1992,,대방동,
48123,202507,APT,대동,,,45,,,1992,,대방동,
48123,202507,APT,성원,,,0,,,1994,,상남동,
48123,202507,APT,성원,,,0,,,1994,,상남동,
48123,202507,APT,포레나대원,,,20,,,2018,,대원동,
48123,202507,APT,무학,,,0,,,1987,,용호동,
48123,202507,APT,동성2차,,,40,,,1987,,신촌동,
48123,202507,APT,피오르빌,,,50,,,1995,,남양동,
48123,202507,APT,성원,,,0,,,1994,,상남동,
48123,202507,APT,성원남산3차,,,0,,,1992,,대방동,
48123,202507,APT,성원1차,,,0,,,1991,,남양동,
48123,202507,APT,개나리1차,,,30,,,1992,,대방동,
48123,202507,APT,대동,,,0,,,1992,,대방동,
48123,202507,APT,무학,,,30,,,1987,,용호동,
48123,202507,APT,위드파크아파트,,,0,,,1998,,남양동,
48123,202507,APT,포레나대원,,,0,,,2018,,대원동,
48123,202507,APT,트리비앙,,,0,,,2006,,반림동,
48123,202507,APT,성원,,,0,,,1994,,상남동,
48123,202507,APT,개나리1차,,,0,,,1992,,대방동,
48123,202507,APT,동서,,,50,,,1989,,사파동,
48123,202507,APT,성원,,,0,,,1994,,상남동,
48123,202507,APT,대동디지털황토방,,,65,,,2001,,대방동,
48123,202507,APT,현대1차,,,0,,,1989,,반림동,
48123,202507,APT,럭키,,,0,,,1989,,반림동,
48123,202507,APT,성원남산3차,,,50,,,1992,,대방동,
48123,202507,APT,까치1차,,,0,,,1990,,반지동,
48123,202507,APT,포레나대원,,,0,,,2018,,대원동,
48123,202507,APT,월드메르디앙이스턴애비뉴,,,25,,,2009,,외동,
48123,202507,APT,꿈에그린,,,0,,,2014,,상남동,
48123,202507,APT,상림,,,35,,,1984,,신촌동,
48123,202507,APT,무학,,,0,,,1987,,용호동,
48123,202507,APT,두산기계사원,,,0,,,1993,,외동,
48123,202507,APT,일동,,,55,,,1986,,용호동,
48123,202507,APT,용지더샵레이크파크,,,100,,,2017,,용호동,
48123,202507,APT,창원가음한화꿈에그린,,,0,,,2017,,가음동,
48123,202507,APT,개나리1차,,,0,,,1992,,대방동,
48123,202507,APT,대동황토방,,,0,,,2001,,대방동,
48123,202507,APT,대동,,,25,,,1988,,사파동,
48123,202507,APT,럭키,,,0,,,1989,,반림동,
48123,202507,APT,형진한아름,,,35,,,1985,,가음동,
48123,202507,APT,까치1차,,,0,,,1990,,반지동,
48123,202507,APT,피오르빌,,,0,,,1995,,남양동,
48123,202507,APT,대동,,,48,,,1992,,대방동,
48123,202507,APT,은아,,,0,,,1988,,신월동,
48123,202507,APT,성원,,,0,,,1994,,상남동,
48123,202507,APT,창원센텀푸르지오,,,70,,,2018,,가음동,
48123,202507,APT,대우2차아파트,,,0,,,1991,,남산동,
48123,202507,APT,용지아이파크,,,180,,,2017,,용호동,
48123,202507,APT,성원,,,25,,,1994,,상남동,
48123,202507,APT,꿈에그린,,,115,,,2014,,상남동,
48123,202507,APT,성산삼정그린코아웰레스트,,,0,,,2024,,안민동,
